University of Illinois System - Investment Office,,,,,
Security Inventory,,,,,
By Fund Group,,,,,
"June 30, 2022",,,,,
,,,,,
,,Maturity,,,
FEDERAL HOME LOAN MORTGAGE COR,3.00,06/01/52,"931,778.39","898,381.23","868,855.28"
FEDERAL HOME LOAN MORTGAGE COR,4.50,06/01/52,"199,224.58","203,364.72","200,222.11"
FEDERAL HOME LOAN MORTGAGE COR,5.00,07/01/52,"975,000.00","990,539.06","996,207.12"
FEDERAL NATIONAL MORTGAGE ASSO,2.00,05/01/51,"449,402.10","453,071.04","390,521.77"
FEDERAL NATIONAL MORTGAGE ASSO,2.50,03/01/51,"263,118.32","273,766.39","237,234.27"
FEDERAL NATIONAL MORTGAGE ASSO,2.50,04/01/51,"428,323.16","444,251.43","385,986.31"
FEDERAL NATIONAL MORTGAGE ASSO,2.50,05/01/51,"626,196.85","648,896.49","564,257.45"
FEDERAL NATIONAL MORTGAGE ASSO,2.50,08/01/51,"284,247.39","268,480.55","256,104.51"
FEDERAL NATIONAL MORTGAGE ASSO,3.00,02/01/50,"202,267.21","213,107.47","189,953.88"
FEDERAL NATIONAL MORTGAGE ASSO,2.50,07/01/51,"232,370.60","241,338.67","209,367.61"
FEDERAL NATL MTG ASSN GTD MTG ,4.00,12/01/40,"62,829.49","65,696.07","63,545.88"
FEDERAL NATL MTG ASSN GTD MTG ,4.50,02/01/41,"3,865.02","4,088.46","3,957.60"
FEDERAL NATL MTG ASSN GTD MTG ,4.50,03/01/41,"7,199.77","7,619.37","7,429.60"
FEDERAL NATL MTG ASSN GTD MTG ,4.50,02/01/41,"3,758.64","3,958.32","3,869.22"
FEDERAL NATL MTG ASSN GTD MTG ,4.00,03/01/41,"156,846.97","165,277.50","158,630.35"
FEDERAL NATL MTG ASSN GTD MTG ,4.50,04/01/41,"5,668.63","6,068.51","5,846.75"
FEDERAL NATL MTG ASSN GTD MTG ,4.50,06/01/41,"5,298.88","5,653.25","5,469.09"
FEDERAL NATL MTG ASSN GTD MTG ,4.50,09/01/41,"2,065.23","2,184.56","2,125.98"
FEDERAL NATL MTG ASSN GTD MTG ,4.50,11/01/41,"6,318.29","6,781.79","6,486.39"
FEDERAL NATL MTG ASSN GTD MTG ,3.50,12/01/41,"289,556.01","289,872.72","285,285.44"
FEDERAL NATL MTG ASSN GTD MTG ,4.00,12/01/41,"71,777.47","74,121.48","72,423.19"
FEDERAL NATL MTG ASSN GTD MTG ,4.00,02/01/41,"60,197.53","63,019.29","60,883.16"
FEDERAL NATL MTG ASSN GTD MTG ,4.50,11/01/41,"33,069.89","35,307.27","34,130.55"
FEDERAL NATL MTG ASSN GTD MTG ,4.00,12/01/41,"72,935.31","75,374.07","73,767.41"
FEDERAL NATL MTG ASSN GTD MTG ,3.50,01/01/44,"59,984.18","61,343.19","59,308.40"
FEDERAL NATL MTG ASSN GTD MTG ,4.00,02/01/45,"181,629.75","185,166.90","182,910.01"
FEDERAL NATL MTG ASSN GTD MTG ,4.00,06/01/45,"53,730.67","56,912.54","54,208.53"
FHLMC G60919 4.5%  09-01-2046,4.50,09/01/46,"32,602.03","34,833.24","33,544.49"
FHLMC GOLD G02667 5.0 01-01-20,5.00,01/01/37,"9,354.62","10,103.00","9,850.27"
FHLMC GOLD G08178 5.0 02-01-20,5.00,02/01/37,891.44,919.28,940.22
FHLMC GOLD G08372 4.5 11-01-20,4.50,11/01/39,"15,474.34","16,499.51","15,988.11"
FHLMC GOLD G08721 3.0 09-01-20,3.00,09/01/46,"12,810.44","12,832.45","12,139.57"
FHLMC GOLD POOL# G67710 3.5%,3.50,03/01/48,"185,960.80","182,968.00","181,937.97"
FHLMC GOLD POOL#V83204 4.5% 05,4.50,05/01/47,"21,317.92","22,850.14","21,645.04"
FHLMC GOLD Q00232 4.5 04-01-20,4.50,04/01/41,"6,592.92","7,063.70","6,793.45"
FHLMC GOLD Q02583 4.5 08-01-20,4.50,08/01/41,"2,273.85","2,395.00","2,287.45"
FHLMC GOLD Q05926 4.0% 02-01-2,4.00,02/01/42,"58,082.00","60,986.11","58,798.93"
FHLMC GOLD Q30470 4.0,4.00,12/01/44,"7,060.04","7,534.40","7,090.15"
FHLMC GOLD Q35614 3.5 08-01-20,3.50,08/01/45,"60,273.44","62,317.07","59,062.34"
FHLMC GOLD Q38470 4.0 01-01-20,4.00,01/01/46,"15,051.59","16,062.87","15,142.52"
FHLMC GOLD Q39438 4.0 03-01-20,4.00,03/01/46,"141,108.69","144,063.16","141,960.95"
FHLMC GOLD Q39644 3.5 03-01-20,3.50,03/01/46,"93,484.60","91,191.32","91,490.84"
FHLMC GOLD Q40097 4.5 04-01-20,4.50,04/01/46,"61,189.46","64,461.67","62,037.29"
FHLMC GOLD Q40375 3.5 05-01-20,3.50,05/01/46,"35,865.42","36,302.54","35,101.12"
FHLMC GOLD Q40553 4.0% 05-01-2,4.00,05/01/46,"63,360.60","66,904.84","63,802.42"
FHLMC GOLD Q45458 4.0 08-01-20,4.00,08/01/46,"64,706.53","68,295.72","65,225.75"
FHLMC GOLD Q46283 4.0% DUE,4.00,02/01/47,"49,837.68","50,585.24","50,027.92"
FHLMC GOLD Q47623 4.0% DUE,4.00,04/01/47,"68,462.78","70,035.28","68,715.78"
FHLMC GOLD Q49394 4.5% 07-01-2,4.50,07/01/47,"56,252.84","58,502.94","57,298.28"
FHLMC GOLD V80509 4.0 10-01-20,4.00,10/01/43,"112,674.47","119,769.46","113,661.49"
FHLMC GOLD V81873 4.0 08-01-20,4.00,08/01/45,"4,678.38","4,997.11","4,715.88"
FHLMC MULTICLASS SER 004572 CL,4.73,04/15/46,"881,083.85","165,239.65","125,789.43"
FHLMC MULTICLASS SER 4031 CL P,4.00,03/15/42,"762,123.12","117,773.72","97,891.29"
FHLMC MULTICLASS SER 4385 CL I,4.50,09/15/44,"374,625.13","79,157.22","67,570.12"
FHLMC PC GOLD Q49100 4.0% 07-0,4.00,07/01/47,"55,049.86","57,871.16","55,198.78"
FHLMC POOL #QA7325 3.0% 02-01-,3.00,02/01/50,"152,913.59","157,047.05","143,408.49"
FHLMC POOL #QB1146 3.0%,3.00,07/01/50,"219,064.89","231,387.31","204,605.36"
FHLMC POOL #QB2682 2.5% DUE 08,2.50,08/01/50,"242,877.13","256,121.54","218,995.79"
FHLMC POOL #QB4785 2.5% 10-01-,2.50,10/01/50,"374,269.07","391,228.15","337,351.51"
FHLMC POOL #QB9401 2.0% DUE,2.00,03/01/51,"328,804.46","332,709.03","286,948.26"
FHLMC POOL #SD-8221 3.5% 05-01,3.50,06/01/52,"1,791,195.87","1,773,213.00","1,724,714.83"
FHLMC POOL #SD8189 2.5% 12-01-,2.50,01/01/52,"120,906.41","122,701.12","108,935.40"
FHLMC POOL #ZA7141 3.0%,3.00,06/01/49,"24,693.43","25,229.75","23,063.45"
FHLMC POOL G0-8768 4.5%,4.50,06/01/47,"104,584.97","111,558.67","106,640.37"
FHLMC Q49888 3.5% DUE 08-01-20,3.50,08/01/47,"107,664.47","107,899.99","105,369.17"
FHLMC UMBS 15Y FIXED 2.0% 06-0,2.00,06/01/36,"215,252.59","222,281.92","201,145.19"
FHLMC UMBS 30Y FIXED 2.5% 04-0,2.50,04/01/51,"509,056.76","527,669.16","458,658.68"
FHLMC UMBS 30Y FIXED 2.5% 07-0,2.50,07/01/50,"323,302.82","336,285.44","292,315.95"
FHLMC UMBS QD-7594 01/02/2052,2.50,02/01/52,"371,244.64","369,446.43","335,390.43"
FHLMC V83421 4.0%,4.00,09/01/47,"134,506.47","140,832.49","134,878.22"
FNMA #B02200 3.5% 09-01-2049,3.50,09/01/49,"107,928.69","111,638.75","104,893.52"
FNMA .6%,0.60,07/29/25,"2,650,000.00","2,651,060.00","2,458,936.35"
FNMA 3% MBS 01/04/2047 USD'CA5,3.00,04/01/47,"140,384.08","148,609.73","132,888.00"
FNMA 3.0% 03-01-2050,3.00,03/01/50,"116,034.83","122,362.35","108,197.33"
FNMA 3.0% 05-01-2050,3.00,05/01/50,"112,044.36","118,206.81","104,539.21"
FNMA 3.0% 08-01-2050,3.00,08/01/50,"163,371.86","172,791.27","152,543.12"
FNMA 4.5% 10-01-2047,4.50,10/01/47,"43,901.52","48,031.01","44,562.12"
FNMA FLTG RT SER 16-95 CL US,4.38,12/25/46,"509,218.51","89,644.20","76,094.36"
FNMA POOL #735925 5.0% DUE 10-,5.00,10/01/35,"82,825.36","90,137.28","87,130.70"
FNMA POOL #888405 5.0% DUE 12-,5.00,12/01/36,"6,624.63","6,934.12","6,976.57"
FNMA POOL #AA8487 4.5% DUE 07-,4.50,07/01/39,"9,776.65","9,777.42","10,090.03"
FNMA POOL #AB1389 4.5% DUE 08-,4.50,08/01/40,"102,017.21","110,369.88","105,277.25"
FNMA POOL #AB3419 4.5% DUE 08-,4.50,08/01/41,"8,397.16","8,907.57","8,666.99"
FNMA POOL #AB5937 3.5% DUE 08-,3.50,08/01/42,"244,519.04","244,442.63","240,285.25"
FNMA POOL #AB7965 3.5% DUE 02-,3.50,02/01/43,"89,966.97","88,968.90","88,413.51"
FNMA POOL #AB9358 3.5% DUE 05-,3.50,05/01/43,"173,700.58","179,101.59","170,705.59"
FNMA POOL #AB9965 4.0% DUE 07-,4.00,07/01/43,"13,484.52","14,023.89","13,613.85"
FNMA POOL #AC6795 4.5% DUE 12-,4.50,12/01/39,"6,837.19","6,860.69","7,056.03"
FNMA POOL #AD7859 5.0% DUE 06-,5.00,06/01/40,"3,631.61","3,914.77","3,821.91"
FNMA POOL #AD8950 5.0% DUE 07-,5.00,07/01/40,"1,238.88","1,311.46","1,275.63"
FNMA POOL #AE0313 4.5% DUE 09-,4.50,09/01/40,"31,355.39","33,094.61","31,951.70"
FNMA POOL #AE4476 4.0% DUE 03-,4.00,03/01/41,"93,711.70","98,748.71","94,773.45"
FNMA POOL #AE5745 5.0% DUE 02-,5.00,02/01/34,"10,407.33","11,018.74","10,636.47"
FNMA POOL #AE8259 5.0% DUE 11-,5.00,11/01/40,"23,633.98","26,085.99","24,874.43"
FNMA POOL #AL8341 4.5% DUE 11-,4.50,11/01/45,"30,467.14","33,302.02","31,367.67"
FNMA POOL #AO1214 3.5% DUE 04-,3.50,04/01/42,"9,019.90","9,363.79","8,864.20"
FNMA POOL #AP3647 3.5% DUE 09-,3.50,09/01/42,"261,425.49","269,635.91","256,900.23"
FNMA POOL #AS1540 3.5% DUE 01-,3.50,01/01/44,"19,690.48","20,291.94","19,349.38"
FNMA POOL #AS3470 4.0% DUE 10-,4.00,10/01/44,"50,910.33","53,344.48","51,268.85"
FNMA POOL #AS4797 3.5% DUE 04-,3.50,04/01/45,"16,610.62","17,400.91","16,269.47"
FNMA POOL #AS5662 4.0% DUE 08-,4.00,08/01/45,"7,975.73","8,548.05","8,031.71"
FNMA POOL #AS5823 3.5% DUE 09-,3.50,09/01/45,"124,837.18","126,105.04","122,225.40"
FNMA POOL #AS6400 4.0% DUE 12-,4.00,12/01/45,"31,989.00","34,058.28","32,206.80"
FNMA POOL #AS6532 4.5% DUE 01-,4.50,01/01/46,"43,923.66","45,653.15","44,950.70"
FNMA POOL #AS6795 4.0% DUE 03-,4.00,03/01/46,"45,677.81","46,477.16","45,828.97"
FNMA POOL #AS7388 3.5% DUE 06-,3.50,06/01/46,"132,662.34","135,274.13","130,040.66"
FNMA POOL #AS7492 4.0% DUE 07-,4.00,07/01/46,"25,512.97","25,967.40","25,671.19"
FNMA POOL #AS7580 3.0% DUE 07-,3.00,07/01/46,"138,237.72","142,406.46","130,973.81"
FNMA POOL #AS7648 4.0% DUE 08-,4.00,08/01/46,"52,032.67","52,764.37","52,291.39"
FNMA POOL #AS8056 3.0% DUE 10-,3.00,10/01/46,"70,340.44","74,428.98","66,586.04"
FNMA POOL #AS8141 4.0% DUE 10-,4.00,10/01/46,"100,363.00","105,083.19","100,862.37"
FNMA POOL #AS8144 4.0% DUE 10-,4.00,10/01/46,"54,979.47","58,149.39","55,156.41"
FNMA POOL #AS8269 3.0% DUE 11-,3.00,11/01/46,"92,211.72","97,657.95","87,271.02"
FNMA POOL #AS8528 3.5% DUE 12-,3.50,12/01/46,"128,950.97","125,183.20","126,000.72"
FNMA POOL #AS8659 4.0% DUE 01-,4.00,01/01/47,"20,596.00","21,801.19","20,654.71"
FNMA POOL #AS8661 4.0% DUE 01-,4.00,01/01/47,"92,946.38","94,384.15","93,342.11"
FNMA POOL #AS9394 4.5% DUE 04-,4.50,04/01/47,"200,498.83","214,314.45","203,916.87"
FNMA POOL #AS9664 4.0% DUE 06-,4.00,06/01/47,"20,774.80","21,966.09","20,869.66"
FNMA POOL #AS9829 3.5% DUE 06-,3.50,06/01/47,"54,264.25","55,705.65","53,024.60"
FNMA POOL #AS9831 4.0% DUE 06-,4.00,06/01/47,"52,624.40","55,448.85","52,832.45"
FNMA POOL #AU1529 4.0% DUE 09-,4.00,09/01/43,"48,675.16","50,424.43","48,383.00"
FNMA POOL #AU2983 4.0% DUE 08-,4.00,08/01/43,"93,128.00","96,514.79","93,784.90"
FNMA POOL #AU3742 3.5% DUE 08-,3.50,08/01/43,"71,759.45","71,378.24","70,516.50"
FNMA POOL #AU4386 4.0% DUE 10-,4.00,10/01/43,"69,927.41","74,068.43","70,546.79"
FNMA POOL #AV0664 4.5% DUE 12-,4.50,12/01/43,"19,068.71","20,534.61","19,586.80"
FNMA POOL #AW0598 4.0% DUE 02-,4.00,02/01/44,"14,050.49","14,722.28","14,149.75"
FNMA POOL #AX0118 4.0% DUE 09-,4.00,09/01/44,"152,387.24","156,673.14","152,086.37"
FNMA POOL #AX0227 4.0% DUE 09-,4.00,09/01/44,"26,558.44","28,143.65","26,588.59"
FNMA POOL #AY1759 3.5% DUE 02-,3.50,02/01/45,"123,469.45","126,864.86","121,345.83"
FNMA POOL #AZ0814 3.5% DUE 07-,3.50,07/01/45,"85,321.73","88,401.32","83,535.34"
FNMA POOL #AZ0869 4.0% DUE 07-,4.00,07/01/45,"92,173.39","95,682.14","92,477.11"
FNMA POOL #AZ4788 4.0% DUE 10-,4.00,10/01/45,"125,117.73","127,796.03","125,750.51"
FNMA POOL #BA4244 4.0% DUE 11-,4.00,11/01/45,"4,160.27","4,405.96","4,189.46"
FNMA POOL #BC0300 3.5% DUE 03-,3.50,03/01/46,"105,980.69","104,424.12","103,456.46"
FNMA POOL #BC0793 3.5% DUE 04-,3.50,04/01/46,"144,674.83","148,789.01","141,585.76"
FNMA POOL #BC4114 3.5% DUE 02-,3.50,02/01/46,"154,564.43","158,718.36","151,145.08"
FNMA POOL #BE2975 4.0% DUE 01-,4.00,01/01/47,"119,857.04","122,029.46","119,490.56"
FNMA POOL #BE3619 4.0% DUE 05-,4.00,05/01/47,"56,106.92","58,929.80","56,266.62"
FNMA POOL #BE3702 4.0% DUE 06-,4.00,06/01/47,"54,948.26","57,729.99","55,030.18"
FNMA POOL #BE3767 3.5% DUE 07-,3.50,07/01/47,"60,146.11","61,894.11","58,817.09"
FNMA POOL #BE5475 3.5% DUE 02-,3.50,02/01/47,"22,342.22","22,953.14","21,815.75"
FNMA POOL #BH9360 4.0% DUE 10-,4.00,10/01/47,"79,067.35","78,869.69","79,259.11"
FNMA POOL #BK3044 2.5% DUE 09-,2.50,09/01/50,"426,740.85","448,344.61","384,931.15"
FNMA POOL #BM1761 4.0% DUE 08-,4.00,08/01/44,"162,773.81","170,302.11","164,632.77"
FNMA POOL #BM3065 3.5% DUE 12-,3.50,12/01/47,"150,275.20","147,762.79","147,111.73"
FNMA POOL #BM3688 3.5% DUE 02-,3.50,02/01/47,"113,110.41","112,456.49","110,619.76"
FNMA POOL #BM3900 4.0% DUE 04-,4.00,04/01/48,"195,053.93","197,431.15","195,258.16"
FNMA POOL #BM3932 3.5% DUE 10-,3.50,10/01/46,"117,302.09","115,579.22","114,626.61"
FNMA POOL #BM5179 3.0% DUE 07-,3.00,07/01/47,"97,115.04","103,032.98","92,170.53"
FNMA POOL #BO2201 3.0%,3.00,09/01/49,"102,848.48","104,037.66","95,916.79"
FNMA POOL #BO5299 3.0%,3.00,11/01/49,"154,578.37","158,310.00","144,941.78"
FNMA POOL #BO8947 3.0%,3.00,01/01/50,"179,900.64","184,716.97","168,247.68"
FNMA POOL #BO9012 3.0%,3.00,02/01/50,"91,029.83","93,277.16","85,416.35"
FNMA POOL #BP2099 3.0%,3.00,02/01/50,"83,511.63","87,595.87","78,023.32"
FNMA POOL #BP6499 3.0% DUE 07-,3.00,07/01/50,"359,331.00","378,673.11","335,559.68"
FNMA POOL #BP6716 2.5% DUE 09-,2.50,09/01/50,"476,060.00","500,532.45","429,255.99"
FNMA POOL #BQ4495 2.0%,2.00,02/01/51,"357,957.77","361,593.28","312,122.37"
FNMA POOL #BQ4516 2.0% DUE 02-,2.00,02/01/51,"288,023.49","296,214.16","251,137.31"
FNMA POOL #BR4029 2.0% DUE 02-,2.00,02/01/51,"385,859.08","399,364.15","336,574.93"
FNMA POOL #BR4515 2.0% DUE 02-,2.00,02/01/51,"428,623.89","443,089.95","373,707.35"
FNMA POOL #BT0417 2.5% DUE 06-,2.50,06/01/51,"291,282.57","303,024.91","262,477.52"
FNMA POOL #BV9914 4.0% DUE 06-,4.00,06/01/52,"831,550.26","837,137.24","821,170.04"
FNMA POOL #CA0182 4.0% DUE 08-,4.00,08/01/47,"54,188.59","56,449.28","54,312.58"
FNMA POOL #CA3517 4.5% 05-01-2,4.50,05/01/49,"113,712.50","122,987.18","114,522.11"
FNMA POOL #CA5221 3.5%,3.50,02/01/50,"109,705.55","115,773.64","106,365.40"
FNMA POOL #CA5424 3.0%,3.00,03/01/50,"176,524.61","185,240.51","164,883.97"
FNMA POOL #CA5559 3.5% 04-01-2,3.50,04/01/50,"88,815.82","94,130.91","86,079.82"
FNMA POOL #CA5668 3.0% DUE 05-,3.00,05/01/50,"116,914.86","123,670.05","109,192.24"
FNMA POOL #CA8817 2.0% DUE 02-,2.00,02/01/51,"620,561.40","641,893.20","541,038.70"
FNMA POOL #FM0040 3.0% DUE 10-,3.00,10/01/41,"114,052.93","118,022.51","109,086.60"
FNMA POOL #FM1000 3.0% DUE 04-,3.00,04/01/47,"493,604.29","518,279.27","466,221.55"
FNMA POOL #FM1370 3.0% DUE 04-,3.00,04/01/46,"40,249.62","42,664.60","38,374.35"
FNMA POOL #FM1467 3.0% DUE 12-,3.00,12/01/47,"100,845.40","103,051.40","96,360.37"
FNMA POOL #FM1572 3.0% DUE 09-,3.00,09/01/48,"258,728.19","266,813.46","245,354.58"
FNMA POOL #FM2050 3.0% DUE 12-,3.00,12/01/49,"342,428.71","357,837.99","319,217.63"
FNMA POOL #FM2239 3.0% DUE 12-,3.00,12/01/48,"164,505.29","169,646.08","155,647.00"
FNMA POOL #FM2385 3.0% DUE 09-,3.00,09/01/48,"185,457.48","196,208.22","175,118.49"
FNMA POOL #FM2897 3.0% DUE 02-,3.00,02/01/48,"164,382.03","174,321.98","155,895.78"
FNMA POOL #FM2915 3.0% DUE 11-,3.00,11/01/48,"81,808.01","86,639.80","77,977.68"
FNMA POOL #FM3249 3.0% DUE 03-,3.00,03/01/50,"154,537.85","162,820.12","145,226.20"
FNMA POOL #FM4334 3.0% DUE 04-,3.00,04/01/50,"211,833.67","223,716.22","198,706.17"
FNMA POOL #FM5923 3.5% DUE 03-,3.50,03/01/48,"190,616.79","202,560.15","186,433.62"
FNMA POOL #FM7151 2.0% DUE 05-,2.00,05/01/51,"413,515.54","416,939.99","360,607.60"
FNMA POOL #FM7189 2.5% DUE 05-,2.50,05/01/51,"241,287.02","250,033.66","217,463.21"
FNMA POOL #FM7592 3.5% DUE 03-,3.50,03/01/50,"339,157.96","357,970.63","329,177.99"
FNMA POOL #FM7738 2.5% DUE 06-,2.50,06/01/51,"307,014.97","317,712.53","276,598.90"
FNMA POOL #FM8178 2.5% DUE 07-,2.50,07/01/51,"578,088.40","602,295.87","520,853.73"
FNMA POOL #FM8360 2.5% DUE 08-,2.50,08/01/51,"381,612.10","397,264.16","344,657.31"
FNMA POOL #FM8422 2.5% DUE 08-,2.50,08/01/51,"346,525.29","324,055.29","312,452.46"
FNMA POOL #FM8821 3.0% DUE 09-,3.00,09/01/51,"228,764.84","217,827.02","213,498.17"
FNMA POOL #FN CA6291 3.0% DUE,3.00,07/01/50,"30,150.55","31,771.14","28,172.72"
FNMA POOL #FS0121 2.0% DUE 01-,2.00,01/01/52,"462,182.54","458,788.39","402,910.82"
FNMA POOL #FS1027 3.0% DUE 02-,3.00,02/01/52,"443,672.83","421,974.46","414,730.29"
FNMA POOL #FS1550 2.5% DUE 07-,2.50,07/01/51,"268,219.94","246,028.94","242,028.93"
FNMA POOL #MA0668 4.5% DUE 03-,4.50,03/01/31,"39,085.08","41,802.74","39,758.69"
FNMA POOL #MA0790 4.5% DUE 07-,4.50,07/01/41,"6,806.47","7,142.01","7,025.19"
FNMA POOL #MA2145 4.0% DUE 01-,4.00,01/01/45,"17,015.78","18,172.31","17,135.81"
FNMA POOL #MA2371 4.0% DUE 08-,4.00,08/01/45,"30,837.75","33,001.23","31,055.18"
FNMA POOL #MA2737 3.0% DUE 09-,3.00,09/01/46,"111,556.50","118,145.30","105,650.65"
FNMA POOL #MA2771 3.0% DUE 10-,3.00,10/01/46,"137,121.62","145,477.48","129,860.02"
FNMA POOL #MA2879 4.0% DUE 01-,4.00,01/01/47,"50,171.41","52,946.54","50,431.92"
FNMA POOL #MA2959 3.5% DUE 04-,3.50,04/01/47,"81,389.73","83,958.61","79,914.24"
FNMA POOL #MA2960 4.0% DUE 04-,4.00,04/01/47,"109,381.71","110,731.90","109,881.67"
FNMA POOL #MA3057 3.5% DUE 07-,3.50,07/01/47,"140,182.46","142,379.55","137,266.23"
FNMA POOL #MA3087 3.5% DUE 08-,3.50,08/01/47,"42,135.81","42,214.82","40,970.67"
FNMA POOL #MA3992 3.5% DUE 04-,3.50,04/01/50,"107,417.86","113,376.20","104,198.90"
FNMA POOL #MA4121 3.0% DUE 09-,3.00,09/01/50,"297,061.73","310,104.60","278,076.28"
FNMA POOL #MA4160 3.0% DUE 10-,3.00,10/01/50,"344,469.69","359,432.58","321,645.58"
FNMA POOL #MA4237 2.0% DUE 01-,2.00,01/01/51,"273,263.05","283,318.28","238,270.02"
FNMA POOL #MA4282 2.5% DUE 03-,2.50,03/01/51,"113,797.99","119,736.84","102,608.87"
FNMA POOL #MA4325 2.0% DUE 04-,2.00,05/01/51,"498,308.22","496,945.65","432,939.80"
FNMA POOL #MA4326 2.5% DUE 05-,2.50,05/01/51,"523,081.17","539,631.80","471,420.02"
FNMA POOL #MA4327 3.0% DUE 05-,3.00,05/01/51,"285,371.63","299,149.73","266,360.34"
FNMA POOL #MA4378 2.0% DUE 07-,2.00,07/01/51,"486,499.58","491,003.50","424,261.69"
FNMA POOL #MA4379 2.5% DUE 07-,2.50,07/01/51,"288,297.07","298,049.62","259,796.78"
FNMA POOL #MA4380 3.0% DUE 07-,3.00,07/01/51,"300,445.04","315,702.02","280,402.78"
FNMA POOL #MA4399 2.5% DUE 08-,2.50,08/01/51,"1,193,594.53","1,158,902.56","1,075,549.81"
FNMA POOL #MA4437 2.0% DUE 10-,2.00,10/01/51,"262,429.09","262,382.28","228,404.94"
FNMA POOL #MA4579 3.0% DUE 04-,3.00,04/01/52,"419,559.06","409,135.66","391,222.27"
FNMA POOL #MA4626 4.0% DUE 06-,4.00,06/01/52,"891,774.96","891,748.10","880,421.93"
FNMA POOL #MA4656 4.5% DUE 07-,4.50,07/01/52,"950,000.00","949,109.38","954,764.87"
FNMA POOL BM5784 3.5%,3.50,05/01/47,"129,992.79","133,628.54","127,136.46"
FNMA POOL BU8836 4.0% 05-01-20,4.00,05/01/52,"566,836.14","570,068.88","559,634.03"
FNMA POOL CA2929 3.5%,3.50,12/01/45,"110,763.44","113,947.90","108,148.74"
FNMA POOL# CA0237 4.0%,4.00,08/01/47,"93,342.08","94,304.68","93,653.81"
FNMA POOL#CA1711  CL  4.5%,4.50,05/01/48,"80,335.06","83,460.58","81,109.25"
FNMA POOL ,3.50,05/01/49,"130,026.00","129,386.03","126,620.00"
FNMA REMIC SER 17-100 CL S FLT,4.53,12/25/42,"514,469.89","94,820.18","81,163.70"
FNMA REMIC SER 2003-W13 CL AV2,1.29,10/25/33,46.03,46.08,44.82
FREDDIE MAC 01/08/2051 2.5% 08,2.50,08/01/51,"260,659.32","271,167.15","234,885.00"
FREDDIE MAC 01/08/2051 2.5% 08,2.50,08/01/51,"301,033.48","294,777.62","271,328.63"
FREDDIE MAC 01/10/2049 3.0% 10,3.00,10/01/49,"26,966.33","28,550.61","25,190.90"
FREDDIE MAC 2% 01/12/2050 2.0%,2.00,12/01/50,"186,214.26","193,488.26","162,338.99"
FREDDIE MAC 2.5% 01/11/2050 2.,2.50,11/01/50,"109,926.02","115,336.43","99,065.87"
FREDDIE MAC 3.0% 01/12/2049 3.,3.00,12/01/49,"160,732.62","169,095.73","149,958.11"
FREDDIE MAC FR QC3907 2.5% 07-,2.50,07/01/51,"337,829.50","350,181.39","304,380.97"
FREDDIE MAC FR QC6073 2.0% 08-,2.00,08/01/51,"495,352.18","502,085.88","431,828.92"
FREDDIE MAC FR SD0780 2.5% 12-,2.50,12/01/51,"337,796.60","315,734.26","304,355.31"
FREDDIE MAC QA3637 3.0% 10-01-,3.00,10/01/49,"172,595.90","181,576.27","161,005.12"
G2SF,4.00,03/20/49,"584,878.93","588,420.19","586,364.97"
GNMA 2021-026 REMIC PASTHRU CT,2.00,02/20/51,"1,359,523.67","159,070.77","157,198.32"
GNMA II GTD CTF MULTI ISSUER G,3.50,02/20/43,"63,405.57","67,229.73","62,948.91"
GNMA POOL #4560 5.5% DUE 10-20,5.50,10/20/39,"27,212.56","29,617.05","29,382.80"
GNMA POOL #781998 5.5% DUE 11-,5.50,11/20/35,"28,637.65","31,147.93","30,926.85"
GNMA POOL #782909 5.5% DUE 09-,5.50,09/20/39,"19,629.27","21,095.31","21,195.85"
GNMA POOL #MA3663 3.5% DUE 05-,3.50,05/20/46,"90,812.44","92,529.36","89,528.41"
GNMA POOL #MA3937 3.5% DUE 09-,3.50,09/20/46,"37,415.56","39,806.65","36,882.29"
GNMA POOL #MA4382 3.5% DUE 04-,3.50,04/20/47,"31,651.24","32,862.90","31,113.84"
GNMA POOL #MA4510 3.5% DUE 06-,3.50,06/20/47,"41,756.64","43,192.02","41,127.35"
GNMA POOL #MA4586 3.5% DUE 07-,3.50,07/20/47,"47,903.16","49,781.87","47,156.02"
GNMA POOL #MA5019 3.5% DUE 02-,3.50,02/20/48,"88,200.22","93,574.93","86,648.51"
GNMAII POOL #3263 SER 2032 7.5,7.50,07/20/32,300.17,316.68,319.94
GNMAII POOL #3276 SER 2032 7.5,7.50,08/20/32,200.35,211.36,200.83
GNMAII POOL #3288 SER 2032 7.5,7.50,09/20/32,115.77,122.46,116.91
GNMAII POOL #MA0392 SER 2042 3,3.50,09/20/42,"53,880.33","56,519.60","53,493.80"
GNMAII POOL #MA1012 SER 2043 3,3.50,05/20/43,"83,853.11","87,369.92","83,256.18"
GNMAII POOL #MA1090 SER 2043 3,3.50,06/20/43,"61,915.42","63,141.64","61,469.08"
GNMAII POOL #MA4004 SER 2046 3,3.50,10/20/46,"198,903.33","205,709.55","196,452.06"
GNMAII POOL #MA4778 3.5% DUE 1,3.50,10/20/47,"33,399.98","34,722.92","32,849.52"
GNMAII POOL #MA4837 SER 2047 3,3.50,11/20/47,"68,922.79","69,183.95","67,767.48"
GNMAII POOL #MA4900 SER 2047 3,3.50,12/20/47,"229,204.82","237,204.79","225,324.07"
GNMAII POOL #MA6542 3.5%,3.50,03/20/50,"44,771.94","47,400.56","43,867.03"
